seed;N;max_generation;max_season_time_steps;n_sites;data_print_interval;init_resources_site;init_predator_density;mu_an;an_init;mu_bn;bn_init;mu_ax;ax_init;mu_bx;bx_init;mu_at;at_init;mu_bt;bt_init;mu_ap;ap_init;mu_bp;bp_init;mu_anu;anu_init;mu_bnu;bnu_init;mu_axo;axo_init;mu_bxo;bxo_init;sdmu;pr_base_flight_survive;flight_survive_scale;flight_survive_power;flight_survive_max_size;min_resources;f;g;generation;mean_an;mean_bn;mean_ax;mean_bx;mean_at;mean_bt;mean_ap;mean_bp;mean_anu;mean_bnu;mean_axo;mean_bxo;mean_resources;var_an;var_bn;var_ax;var_bx;var_at;var_bt;var_ap;var_bp;var_anu;var_bnu;var_axo;var_bxo;var_resources;n;n_female;n_male;file
2849328229;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;1;3;50000;-0.00113;-0.00496362;0.00109185;-0.0757961;0.00164889;5.507e-05;0;0;-0.00347228;-0.0667569;6.37794e-05;0.0821881;103.788;0.000203901;0.000237236;0.000220089;0.000525536;0.000194279;0.000192068;0;0;0.00021806;0.000328141;0.000207819;0.000527533;824.244;2395;1155;1240;./sim_cue_migration_20260718_123204_64
236141494;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;1;3;50000;-0.00181579;-0.00125101;-0.00134974;-0.0832308;-0.00344396;-0.000538238;0;0;0.00126379;-0.0840103;0.00132971;0.0940754;117.919;0.000177339;0.000214681;0.000232854;0.000125739;0.000200668;0.000185402;0;0;0.000183194;-0.00017112;0.000172032;-0.000119013;-24.7997;2355;1225;1130;./sim_cue_migration_20260718_123204_63
4158396271;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;1;3;50000;-0.00214813;-0.00437533;0.00144061;-0.0760871;-0.00113448;0.000272948;0;0;0.000185381;-0.0746267;-0.00405552;0.0754094;109.064;0.000220287;0.000218445;0.000178476;0.000273047;0.00021351;0.000180977;0;0;0.00018487;4.01854e-05;0.000180441;3.03861e-05;350.196;2329;1178;1151;./sim_cue_migration_20260718_123204_62
2159446724;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;1;3;50000;-0.000437727;-0.00517422;-0.000314672;-0.0744357;0.00299444;-0.000664795;0;0;-0.000911156;-0.0781424;0.000917883;0.0812916;115.71;0.000209905;0.00017357;0.000221003;0.000420461;0.000156628;0.000154746;0;0;0.0002058;0.000140471;0.000194743;0.000193769;686.521;2314;1143;1171;./sim_cue_migration_20260718_123204_61
3074346235;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;2;3;50000;-0.00657347;-0.0284266;-0.00128522;-0.0812732;0.000656077;-0.00175105;0;0;-0.00377655;0.0451236;0.00474185;0.000746797;17.5133;0.000229172;0.000845587;0.000290337;-3.49489e-05;0.000162085;0.000198581;0;0;0.000161932;5.23882e-05;0.000218939;0.000266707;66.6994;863;452;411;./sim_cue_migration_20260718_123204_65
3641744993;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;2;3;50000;-0.00339936;-0.0361107;0.000703811;-0.0790821;0.00522365;0.00209619;0;0;0.00163358;0.0472688;0.000756766;0.00164799;16.2077;0.000209681;0.00102288;0.000198548;0.000360904;0.00024042;0.000163757;0;0;0.000201113;0.00015282;0.000171435;0.000260447;47.0716;915;455;460;./sim_cue_migration_20260718_123204_66
2151521524;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;2;3;50000;0.00580567;-0.0554885;-0.00337969;-0.0736475;-0.000803869;-0.00403571;0;0;-0.00136265;0.0510819;-0.00678951;4.46993e-06;16.219;0.000235614;0.000645367;0.00023147;9.54331e-05;0.000317732;0.000237443;0;0;0.00023817;0.000151527;0.00017072;0.000189926;78.2884;886;456;430;./sim_cue_migration_20260718_123204_67
3556685095;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;2;3;50000;0.000275295;-0.0395127;-0.00401422;-0.0769028;-0.00179081;-0.000328348;0;0;-0.00118443;-0.00697741;-0.00158414;0.0156174;102.473;0.000153643;0.000713401;0.000205468;7.53313e-05;0.000197507;0.000162541;0;0;0.000168928;3.5079e-07;0.000197592;6.55054e-05;955.346;1743;888;855;./sim_cue_migration_20260718_123204_68
559000579;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;3;3;50000;-0.00196563;-0.03506;-0.00123672;-0.0877704;0.000980589;-0.0064338;0;0;-0.000236341;0.0559106;-0.00673115;0.00594731;16.9498;0.00018011;0.000643129;0.000151539;0.000209497;0.000239511;0.000153836;0;0;0.000220662;0.000227749;0.000194259;0.000203163;177.725;737;371;366;./sim_cue_migration_20260718_123204_69
3915485506;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;3;3;50000;-0.000469423;-0.0240277;0.00172209;-0.0793388;-0.00191144;0.00227339;0;0;-0.00472522;0.0545499;-9.33478e-05;-0.000709905;15.1566;0.000237969;0.000413517;0.000188723;0.000182566;0.00023728;0.000154345;0;0;0.000214632;0.000225794;0.000110092;0.000232517;56.8683;728;367;361;./sim_cue_migration_20260718_123204_70
750631146;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;3;3;50000;-0.00286987;-0.0382363;0.0058949;-0.0842014;-0.00341773;-0.00217448;0;0;0.00191219;0.0375248;0.00164811;0.0022673;16.9451;0.000158904;0.000731431;0.000176039;0.000234055;0.000206888;0.000288986;0;0;0.000199484;0.00013632;0.000242568;0.000175755;280.132;802;397;405;./sim_cue_migration_20260718_123204_72
3236035334;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;3;3;50000;-0.00213429;-0.0321502;-0.00158692;-0.0864174;2.70967e-05;0.00234693;0;0;-0.0014246;0.0419143;0.00164733;0.0036047;15.911;0.000193886;0.000496895;0.00018203;0.000192783;0.000159272;0.000220253;0;0;0.000225018;0.000142619;0.000208981;0.000211178;89.2172;764;389;375;./sim_cue_migration_20260718_123204_71
2568358397;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.01;0.7;1;50;0;1;3;50000;-0.000774212;-0.00395277;0.000473194;-0.0849387;-0.00138369;0.000519298;0;0;-0.000712393;-0.0743419;-0.00079332;0.0805715;104.141;0.000216571;0.000211184;0.000186837;0.000629495;0.00022267;0.000190207;0;0;0.000180785;0.000202882;0.000205179;0.000242603;683.271;2273;1114;1159;./sim_cue_migration_20260718_123204_73
4081590189;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.05;0.7;1;50;0;1;3;50000;-0.00107876;-0.00105298;0.000185818;-0.0728696;-0.000207824;6.10775e-05;0;0;-0.00495038;-0.0744256;-0.000341034;0.0836445;110.45;0.000173727;0.000168962;0.000170094;0.00039573;0.000160401;0.00019471;0;0;0.000214424;9.92703e-05;0.000214202;0.000226555;574.738;2261;1121;1140;./sim_cue_migration_20260718_123204_74
3150553892;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.5;0.7;1;50;0;1;3;50000;-0.000484956;-0.0034903;-0.00291001;-0.0765786;0.00386838;0.000195612;0;0;0.0015635;-0.0716924;0.000383454;0.0793447;104.678;0.000226138;0.000230074;0.00021008;0.000352994;0.000155194;0.000180038;0;0;0.000173801;0.000268732;0.000172428;0.000123967;462.518;2413;1207;1206;./sim_cue_migration_20260718_123204_76
1018040327;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;1;3;50000;-0.000148791;-0.00436301;-0.000892201;-0.0743512;0.00098118;0.000573831;0;0;0.00175005;-0.074317;0.00281427;0.0909367;107.97;0.000204557;0.000207627;0.000221896;0.0004353;0.000194186;0.000175748;0;0;0.000202454;0.00025373;0.000194905;0.000422781;770.121;2303;1118;1185;./sim_cue_migration_20260718_123204_75
2425827651;2500;50000;50;10;10;10;10;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0;0;0;0;0;0.02;0;0.02;0;0.02;0;0.02;0;0.02;0.1;0.7;1;50;0;2;3;50000;0.00331796;-0.0234133;-0.00183892;-0.0867279;0.00483265;0.00201122;0;0;-0.00193621;0.0552988;-3.6504e-05;-0.000193662;16.8127;0.0001997;0.000599374;0.000156488;0.000271193;0.000285197;0.000178114;0;0;0.000201356;0.000195224;0.000172925;0.000205244;121.855;881;445;436;./sim_cue_migration_20260718_123204_79
